123434,Adm do Brasil Ltda,Minas Gerais,Brazil,1
123435,ADM Processing,Illinois,USA,1
123436,ADM Speciality Food Ingredients,Illinois,USA,1
123437,Bunge Alimentos SA,Goias,Brazil,0
123438,Bunge,Washington,USA,1
123439,Bunge,Kansas,USA,1
123440,Bunge,Kansas,USA,0
123441,Bunge,Tennessee,USA,1
123442,Cargill S A C E I,Buenos Aires,Argentina,1
123443,Cargill Soybean,Iowa,USA,1
123444,Cargill Soybean,Iowa,USA,0
123445,Cereal Docks Spa,Vicenza,Italy,1
123446,CHS (Soybean),Minnesota,USA,1
123447,Cj Selecta SA,Minas Gerais,Brazil,1
123448,Loryb And Dp Ventures Limited,Kaduna,Nigeria,1
123449,Masloekstraktsionnyy zavod Amurskiy,Amur,Russian Federation,0
123450,Molinos Agro SA,Santa Fe,Argentina,1
123451,Nalmaco Nigeria Limited,Kaduna,Nigeria,1
123452,SOJAPROTEIN A.D. Becej,Vojvodina,Serbia,1
123453,Solae LLC,Illinois,USA,1
123454,Solteam,Mato Grosso,Brazil,0
123455,Solteam,Amazonas,Brazil,0
123456,Solteam,Paraná,Brazil,1
123457,Tsentr Soya OOO,Krasnodar,Russian Federation,1
123458,Vanden Avenne Commodities NV,Goias,Brazil,1
123459,Vanden Avenne Commodities NV,Goias,Brazil,0
